x,y,z,angle_deg,obj_filename,pred_width,pred_height,fit_dist,pred_levels,cluster_levels
-727576.2163386664,3173148.3550037635,0,0,geospecific_26.obj,0,0,0,1,1
-727709.0964021899,3173397.07008442,0,0,geospecific_27.obj,0,0,0,1,1
-727602.3179760295,3174016.525800325,0,0,geospecific_28.obj,0,0,0,1,1
-727777.642145661,3174223.926005637,0,0,geospecific_29.obj,0,0,0,1,1
-727707.4588566417,3174426.849645021,0,0,geospecific_30.obj,0,0,0,1,1
-727769.0453058664,3174467.6614473467,0,0,geospecific_31.obj,0,0,0,1,1
-727524.1854088283,3174793.5554019012,0,0,geospecific_32.obj,0,0,0,1,1
-727914.6085579485,3174941.8830997488,0,0,geospecific_33.obj,0,0,0,1,1
-727733.831170339,3175078.840240214,0,0,geospecific_34.obj,0,0,0,1,1
-727634.2198199036,3175148.236520728,0,0,geospecific_35.obj,0,0,0,1,1
-727923.0814846485,3175162.7207130836,0,0,geospecific_36.obj,0,0,0,1,1
-727336.1177755182,3172693.111817219,0,0,geospecific_37.obj,0,0,0,1,1
-727483.9695028337,3173667.652198328,0,0,geospecific_38.obj,0,0,0,1,1
-727442.5315675635,3175243.453924226,0,0,geospecific_39.obj,0,0,0,1,1
-727358.3870135867,3175305.508790472,0,0,geospecific_40.obj,0,0,0,1,1
-727182.8312540365,3172696.8419455527,0,0,geospecific_41.obj,0,0,0,1,1
-727219.3376625988,3172749.3727872306,0,0,geospecific_42.obj,0,0,0,1,1
-727289.528101609,3172782.689500769,0,0,geospecific_43.obj,0,0,0,1,1
-727194.4592750194,3172869.530097797,0,0,geospecific_44.obj,0,0,0,1,1
-727244.4474363541,3172949.0217289096,0,0,geospecific_45.obj,0,0,0,1,1
-727195.6374482885,3173102.2512506074,0,0,geospecific_46.obj,0,0,0,1,1
-727192.1306864967,3173163.790327137,0,0,geospecific_47.obj,0,0,0,1,1
-727156.2462601574,3173240.5514467712,0,0,geospecific_48.obj,0,0,0,1,1
-727148.7338754053,3173257.8987132856,0,0,geospecific_49.obj,0,0,0,1,1
-727222.6867616816,3173300.800259741,0,0,geospecific_50.obj,0,0,0,1,1
-727209.1687361052,3173331.0094134836,0,0,geospecific_51.obj,0,0,0,1,1
-727196.4512905595,3173362.1588772414,0,0,geospecific_52.obj,0,0,0,1,1
-727182.7435382786,3173392.7366627026,0,0,geospecific_53.obj,0,0,0,1,1
-727170.4982589013,3173423.780924864,0,0,geospecific_54.obj,0,0,0,1,1
-727174.8713626838,3173567.821946714,0,0,geospecific_55.obj,0,0,0,1,1
-727253.8561308257,3174020.4572549514,0,0,geospecific_56.obj,0,0,0,1,1
-727216.6251748665,3174030.2016254547,0,0,geospecific_57.obj,0,0,0,1,1
-727162.0891506526,3174130.194062601,0,0,geospecific_58.obj,0,0,0,1,1
-727210.2628843797,3174164.693889647,0,0,geospecific_59.obj,0,0,0,1,1
-727199.3852008117,3174218.173731233,0,0,geospecific_60.obj,0,0,0,1,1
-727221.4521434271,3174344.1784832445,0,0,geospecific_61.obj,0,0,0,1,1
-727163.212585694,3175287.384013967,0,0,geospecific_62.obj,0,0,0,1,1
-727182.1748357915,3175318.2065037014,0,0,geospecific_63.obj,0,0,0,1,1
-727240.4941962498,3175340.766007083,0,0,geospecific_64.obj,0,0,0,1,1
-726972.746387297,3172707.829701146,0,0,geospecific_65.obj,0,0,0,1,1
-727103.655263584,3172770.7448381204,0,0,geospecific_66.obj,0,0,0,1,1
-727148.576208503,3172808.1192452894,0,0,geospecific_67.obj,0,0,0,1,1
-727154.0864296689,3172911.7481817617,0,0,geospecific_68.obj,0,0,0,1,1
-727141.4858568547,3172927.8645510473,0,0,geospecific_69.obj,0,0,0,1,1
-727123.8779462843,3172946.693775507,0,0,geospecific_70.obj,0,0,0,1,1
-727090.3638727856,3172974.0901869037,0,0,geospecific_71.obj,0,0,0,1,1
-727073.6092341737,3172982.357431265,0,0,geospecific_72.obj,0,0,0,1,1
-727052.3540664879,3172993.3922963357,0,0,geospecific_73.obj,0,0,0,1,1
-727131.2034153865,3173067.1520545436,0,0,geospecific_74.obj,0,0,0,1,1
-727085.0396830079,3173067.055110063,0,0,geospecific_75.obj,0,0,0,1,1
-727073.5708733322,3173126.465336666,0,0,geospecific_76.obj,0,0,0,1,1
-727106.9751516426,3173141.8955610427,0,0,geospecific_77.obj,0,0,0,1,1
-727049.905197658,3173147.1516652633,0,0,geospecific_78.obj,0,0,0,1,1
-727043.6532434869,3173303.0473582973,0,0,geospecific_79.obj,0,0,0,1,1
-727111.4513739562,3173469.704565349,0,0,geospecific_80.obj,0,0,0,1,1
-727167.9297245707,3173481.4239309547,0,0,geospecific_81.obj,0,0,0,1,1
-727146.3700659118,3173486.4341912237,0,0,geospecific_82.obj,0,0,0,1,1
-727067.932259598,3173924.063476968,0,0,geospecific_83.obj,0,0,0,1,1
-727149.5667681588,3174026.1589525905,0,0,geospecific_84.obj,0,0,0,1,1
-727041.9996278986,3174273.332773966,0,0,geospecific_85.obj,0,0,0,1,1
-727056.5643924506,3174328.4012450217,0,0,geospecific_86.obj,0,0,0,1,1
-727047.6151899834,3174398.0077904724,0,0,geospecific_87.obj,0,0,0,1,1
-727171.4028755215,3174484.0714277686,0,0,geospecific_88.obj,0,0,0,1,1
-727067.781383297,3174493.047426919,0,0,geospecific_89.obj,0,0,0,1,1
-727088.434468597,3174710.2140904064,0,0,geospecific_90.obj,0,0,0,1,1
-727076.599335967,3174693.179390063,0,0,geospecific_91.obj,0,0,0,1,1
-727106.8802677852,3175114.2335862312,0,0,geospecific_92.obj,0,0,0,1,1
-727160.5359320963,3175459.3842900735,0,0,geospecific_93.obj,0,0,0,1,1
-727047.8684853729,3175517.58134381,0,0,geospecific_94.obj,0,0,0,1,1
-727008.1371004946,3172802.265856556,0,0,geospecific_95.obj,0,0,0,1,1
-726960.0716394976,3172869.8588906247,0,0,geospecific_96.obj,0,0,0,1,1
-726964.820800716,3172885.276962608,0,0,geospecific_97.obj,0,0,0,1,1
-726981.0160281709,3172905.18805592,0,0,geospecific_98.obj,0,0,0,1,1
-726977.4802735298,3172927.6787439217,0,0,geospecific_99.obj,0,0,0,1,1
-726987.7082610907,3173026.4378945823,0,0,geospecific_100.obj,0,0,0,1,1
-727036.2240204674,3173001.7649129163,0,0,geospecific_101.obj,0,0,0,1,1
-726949.4569313928,3173046.046988429,0,0,geospecific_102.obj,0,0,0,1,1
-727014.9677555256,3173012.7972578118,0,0,geospecific_103.obj,0,0,0,1,1
-726911.4048643837,3173066.0836251974,0,0,geospecific_104.obj,0,0,0,1,1
-727013.921577803,3173170.5745487814,0,0,geospecific_105.obj,0,0,0,1,1
-726974.6441268248,3173188.4819432828,0,0,geospecific_106.obj,0,0,0,1,1
-726946.667480752,3173202.8745879955,0,0,geospecific_107.obj,0,0,0,1,1
-726921.67187729,3173214.040711535,0,0,geospecific_108.obj,0,0,0,1,1
-727009.8072530708,3173279.609846042,0,0,geospecific_109.obj,0,0,0,1,1
-727003.1293310473,3173310.6540333773,0,0,geospecific_110.obj,0,0,0,1,1
-726978.3640120338,3173322.301314682,0,0,geospecific_111.obj,0,0,0,1,1
-726899.4871824436,3173329.8907157257,0,0,geospecific_112.obj,0,0,0,1,1
-726910.6841407695,3173354.9106014045,0,0,geospecific_113.obj,0,0,0,1,1
-726921.4491629765,3173371.4046281246,0,0,geospecific_114.obj,0,0,0,1,1
-726932.6370733695,3173396.432580573,0,0,geospecific_115.obj,0,0,0,1,1
-727013.0081611155,3173462.696352926,0,0,geospecific_116.obj,0,0,0,1,1
-727029.5711513814,3173574.078314123,0,0,geospecific_117.obj,0,0,0,1,1
-726964.338960162,3174282.3595691244,0,0,geospecific_118.obj,0,0,0,1,1
-726941.5968376312,3174361.7542098844,0,0,geospecific_119.obj,0,0,0,1,1
-727030.5892471815,3174409.6187383286,0,0,geospecific_120.obj,0,0,0,1,1
-726971.5823972785,3174420.199135294,0,0,geospecific_121.obj,0,0,0,1,1
-726992.2664355541,3174420.7566567827,0,0,geospecific_122.obj,0,0,0,1,1
